District,Crop,Year,Temperature,Rainfall,Humidity,Yield
Barnala,Potato,2022,25.85,802.0,64.0,4.86
Barnala,Potato,2023,27.85,712.0,69.0,5.18
Barnala,Potato,2024,28.85,682.0,71.0,5.13
Barnala,Rice,2015,24.85,792.0,60.0,4.71
Barnala,Rice,2016,26.85,742.0,65.0,4.29
Barnala,Rice,2017,25.85,812.0,70.0,4.5
Barnala,Rice,2018,27.85,692.0,68.0,4.71
Barnala,Rice,2019,28.85,672.0,72.0,4.64
Barnala,Rice,2020,29.85,642.0,75.0,4.07
Barnala,Rice,2021,26.85,772.0,66.0,4.08
Barnala,Rice,2022,25.85,802.0,64.0,4.99
Barnala,Rice,2023,27.85,712.0,69.0,4.28
Barnala,Rice,2024,28.85,682.0,71.0,4.61
Barnala,Sugarcane,2015,24.85,792.0,60.0,6.25
Barnala,Sugarcane,2016,26.85,742.0,65.0,5.88
Barnala,Sugarcane,2017,25.85,812.0,70.0,6.37
Barnala,Sugarcane,2018,27.85,692.0,68.0,6.45
Barnala,Sugarcane,2019,28.85,672.0,72.0,6.39
Barnala,Sugarcane,2020,29.85,642.0,75.0,5.51
Barnala,Sugarcane,2021,26.85,772.0,66.0,6.12
Barnala,Sugarcane,2022,25.85,802.0,64.0,5.57
Barnala,Sugarcane,2023,27.85,712.0,69.0,5.67
Barnala,Sugarcane,2024,28.85,682.0,71.0,6.16
Barnala,Sunflower,2015,24.85,792.0,60.0,2.15
Barnala,Sunflower,2016,26.85,742.0,65.0,2.0
Barnala,Sunflower,2017,25.85,812.0,70.0,2.42
Barnala,Sunflower,2018,27.85,692.0,68.0,2.4
Barnala,Sunflower,2019,28.85,672.0,72.0,2.44
Barnala,Sunflower,2020,29.85,642.0,75.0,2.19
Barnala,Sunflower,2021,26.85,772.0,66.0,2.72
Barnala,Sunflower,2022,25.85,802.0,64.0,2.77
Barnala,Sunflower,2023,27.85,712.0,69.0,2.14
Barnala,Sunflower,2024,28.85,682.0,71.0,2.7
Barnala,Wheat,2015,24.85,792.0,60.0,3.58
Barnala,Wheat,2016,26.85,742.0,65.0,3.83
Barnala,Wheat,2017,25.85,812.0,70.0,3.95
Barnala,Wheat,2018,27.85,692.0,68.0,3.54
Barnala,Wheat,2019,28.85,672.0,72.0,3.11
Barnala,Wheat,2020,29.85,642.0,75.0,3.31
Barnala,Wheat,2021,26.85,772.0,66.0,3.81
Barnala,Wheat,2022,25.85,802.0,64.0,3.02
Barnala,Wheat,2023,27.85,712.0,69.0,3.76
Barnala,Wheat,2024,28.85,682.0,71.0,3.44
Bathinda,Bajra,2015,25.0,796.0,60.0,1.85
Bathinda,Bajra,2016,27.0,746.0,65.0,2.66
Bathinda,Bajra,2017,26.0,816.0,70.0,2.54
Bathinda,Bajra,2018,28.0,696.0,68.0,2.58
Bathinda,Bajra,2019,29.0,676.0,72.0,1.74
Bathinda,Bajra,2020,30.0,646.0,75.0,2.46
Bathinda,Bajra,2021,27.0,776.0,66.0,2.32
Bathinda,Bajra,2022,26.0,806.0,64.0,2.25
Bathinda,Bajra,2023,28.0,716.0,69.0,2.43
Bathinda,Bajra,2024,29.0,686.0,71.0,2.24
Bathinda,Cotton,2015,25.0,796.0,60.0,2.39
Bathinda,Cotton,2016,27.0,746.0,65.0,2.72
Bathinda,Cotton,2017,26.0,816.0,70.0,2.66
Bathinda,Cotton,2018,28.0,696.0,68.0,3.11
Bathinda,Cotton,2019,29.0,676.0,72.0,3.29
Bathinda,Cotton,2020,30.0,646.0,75.0,3.11
Bathinda,Cotton,2021,27.0,776.0,66.0,3.1
Bathinda,Cotton,2022,26.0,806.0,64.0,2.31
Bathinda,Cotton,2023,28.0,716.0,69.0,2.73
Bathinda,Cotton,2024,29.0,686.0,71.0,2.91
Bathinda,Gram,2015,25.0,796.0,60.0,1.3
Bathinda,Gram,2016,27.0,746.0,65.0,1.55
Bathinda,Gram,2017,26.0,816.0,70.0,1.97
Bathinda,Gram,2018,28.0,696.0,68.0,1.68
Bathinda,Gram,2019,29.0,676.0,72.0,1.37
Bathinda,Gram,2020,30.0,646.0,75.0,1.32
Bathinda,Gram,2021,27.0,776.0,66.0,1.33
Bathinda,Gram,2022,26.0,806.0,64.0,1.47
Bathinda,Gram,2023,28.0,716.0,69.0,1.92
Bathinda,Gram,2024,29.0,686.0,71.0,1.9
Bathinda,Maize,2015,25.0,796.0,60.0,3.0
Bathinda,Maize,2016,27.0,746.0,65.0,2.53
Bathinda,Maize,2017,26.0,816.0,70.0,3.2
Bathinda,Maize,2018,28.0,696.0,68.0,3.38
Bathinda,Maize,2019,29.0,676.0,72.0,2.9
Bathinda,Maize,2020,30.0,646.0,75.0,2.83
Bathinda,Maize,2021,27.0,776.0,66.0,2.57
Bathinda,Maize,2022,26.0,806.0,64.0,2.79
Bathinda,Maize,2023,28.0,716.0,69.0,3.46
Bathinda,Maize,2024,29.0,686.0,71.0,2.59
Bathinda,Mustard,2015,25.0,796.0,60.0,1.57
Bathinda,Mustard,2016,27.0,746.0,65.0,1.77
Bathinda,Mustard,2017,26.0,816.0,70.0,2.01
Bathinda,Mustard,2018,28.0,696.0,68.0,2.35
Bathinda,Mustard,2019,29.0,676.0,72.0,2.35
Bathinda,Mustard,2020,30.0,646.0,75.0,2.41
Bathinda,Mustard,2021,27.0,776.0,66.0,2.18
Bathinda,Mustard,2022,26.0,806.0,64.0,2.15
Bathinda,Mustard,2023,28.0,716.0,69.0,2.49
Bathinda,Mustard,2024,29.0,686.0,71.0,2.31
Bathinda,Potato,2015,25.0,796.0,60.0,5.18
Bathinda,Potato,2016,27.0,746.0,65.0,4.88
Bathinda,Potato,2017,26.0,816.0,70.0,5.26
Bathinda,Potato,2018,28.0,696.0,68.0,5.27
Bathinda,Potato,2019,29.0,676.0,72.0,5.07
Bathinda,Potato,2020,30.0,646.0,75.0,4.61
Bathinda,Potato,2021,27.0,776.0,66.0,5.44
Bathinda,Potato,2022,26.0,806.0,64.0,4.6
Bathinda,Potato,2023,28.0,716.0,69.0,4.94
Bathinda,Potato,2024,29.0,686.0,71.0,4.58
Bathinda,Rice,2015,25.0,796.0,60.0,4.92
Bathinda,Rice,2016,27.0,746.0,65.0,4.22
Bathinda,Rice,2017,26.0,816.0,70.0,4.0
Bathinda,Rice,2018,28.0,696.0,68.0,4.26
Bathinda,Rice,2019,29.0,676.0,72.0,4.83
Bathinda,Rice,2020,30.0,646.0,75.0,4.06
Bathinda,Rice,2021,27.0,776.0,66.0,4.29
Bathinda,Rice,2022,26.0,806.0,64.0,4.36
Bathinda,Rice,2023,28.0,716.0,69.0,4.36
Bathinda,Rice,2024,29.0,686.0,71.0,4.69
Bathinda,Sugarcane,2015,25.0,796.0,60.0,5.76
Bathinda,Sugarcane,2016,27.0,746.0,65.0,6.46
Bathinda,Sugarcane,2017,26.0,816.0,70.0,6.5
Bathinda,Sugarcane,2018,28.0,696.0,68.0,5.65
Bathinda,Sugarcane,2019,29.0,676.0,72.0,6.22
Bathinda,Sugarcane,2020,30.0,646.0,75.0,6.4
Bathinda,Sugarcane,2021,27.0,776.0,66.0,6.37
Bathinda,Sugarcane,2022,26.0,806.0,64.0,5.9
Bathinda,Sugarcane,2023,28.0,716.0,69.0,5.63
Bathinda,Sugarcane,2024,29.0,686.0,71.0,5.89
Bathinda,Sunflower,2015,25.0,796.0,60.0,2.0
Bathinda,Sunflower,2016,27.0,746.0,65.0,2.17
Bathinda,Sunflower,2017,26.0,816.0,70.0,2.43
Bathinda,Sunflower,2018,28.0,696.0,68.0,2.46
Bathinda,Sunflower,2019,29.0,676.0,72.0,2.78
Bathinda,Sunflower,2020,30.0,646.0,75.0,2.16
Bathinda,Sunflower,2021,27.0,776.0,66.0,1.99
Bathinda,Sunflower,2022,26.0,806.0,64.0,2.12
Bathinda,Sunflower,2023,28.0,716.0,69.0,2.0
Bathinda,Sunflower,2024,29.0,686.0,71.0,2.23
Bathinda,Wheat,2015,25.0,796.0,60.0,3.05
Bathinda,Wheat,2016,27.0,746.0,65.0,3.18
Bathinda,Wheat,2017,26.0,816.0,70.0,3.56
Bathinda,Wheat,2018,28.0,696.0,68.0,3.85
Bathinda,Wheat,2019,29.0,676.0,72.0,3.21
Bathinda,Wheat,2020,30.0,646.0,75.0,3.7
Bathinda,Wheat,2021,27.0,776.0,66.0,3.32
Bathinda,Wheat,2022,26.0,806.0,64.0,3.48
Bathinda,Wheat,2023,28.0,716.0,69.0,3.55
Bathinda,Wheat,2024,29.0,686.0,71.0,3.08
Faridkot,Bajra,2015,25.15,800.0,60.0,2.08
Faridkot,Bajra,2016,27.15,750.0,65.0,1.82
Faridkot,Bajra,2017,26.15,820.0,70.0,2.62
Faridkot,Bajra,2018,28.15,700.0,68.0,2.38
Faridkot,Bajra,2019,29.15,680.0,72.0,2.53
Faridkot,Bajra,2020,30.15,650.0,75.0,2.4
Faridkot,Bajra,2021,27.15,780.0,66.0,2.0
Faridkot,Bajra,2022,26.15,810.0,64.0,1.72
Faridkot,Bajra,2023,28.15,720.0,69.0,2.65
Faridkot,Bajra,2024,29.15,690.0,71.0,2.13
Faridkot,Cotton,2015,25.15,800.0,60.0,2.75
Faridkot,Cotton,2016,27.15,750.0,65.0,2.32
Faridkot,Cotton,2017,26.15,820.0,70.0,3.01
Faridkot,Cotton,2018,28.15,700.0,68.0,3.29
Faridkot,Cotton,2019,29.15,680.0,72.0,2.32
Faridkot,Cotton,2020,30.15,650.0,75.0,3.29
Faridkot,Cotton,2021,27.15,780.0,66.0,2.93
Faridkot,Cotton,2022,26.15,810.0,64.0,3.12
Faridkot,Cotton,2023,28.15,720.0,69.0,2.89
Faridkot,Cotton,2024,29.15,690.0,71.0,3.17
Faridkot,Gram,2015,25.15,800.0,60.0,2.18
Faridkot,Gram,2016,27.15,750.0,65.0,1.88
Faridkot,Gram,2017,26.15,820.0,70.0,1.92
Faridkot,Gram,2018,28.15,700.0,68.0,1.84
Faridkot,Gram,2019,29.15,680.0,72.0,1.72
Faridkot,Gram,2020,30.15,650.0,75.0,1.93
Faridkot,Gram,2021,27.15,780.0,66.0,1.56
Faridkot,Gram,2022,26.15,810.0,64.0,2.09
Faridkot,Gram,2023,28.15,720.0,69.0,2.25
Faridkot,Gram,2024,29.15,690.0,71.0,1.7
Faridkot,Maize,2015,25.15,800.0,60.0,2.97
Faridkot,Maize,2016,27.15,750.0,65.0,2.64
Faridkot,Maize,2017,26.15,820.0,70.0,3.28
Faridkot,Maize,2018,28.15,700.0,68.0,2.99
Faridkot,Maize,2019,29.15,680.0,72.0,3.2
Faridkot,Maize,2020,30.15,650.0,75.0,2.68
Faridkot,Maize,2021,27.15,780.0,66.0,3.03
Faridkot,Maize,2022,26.15,810.0,64.0,2.78
Faridkot,Maize,2023,28.15,720.0,69.0,2.77
Faridkot,Maize,2024,29.15,690.0,71.0,3.16
Faridkot,Mustard,2015,25.15,800.0,60.0,2.33
Faridkot,Mustard,2016,27.15,750.0,65.0,1.85
Faridkot,Mustard,2017,26.15,820.0,70.0,1.61
Faridkot,Mustard,2018,28.15,700.0,68.0,2.09
Faridkot,Mustard,2019,29.15,680.0,72.0,2.09
Faridkot,Mustard,2020,30.15,650.0,75.0,2.1
Faridkot,Mustard,2021,27.15,780.0,66.0,2.47
Faridkot,Mustard,2022,26.15,810.0,64.0,1.95
Faridkot,Mustard,2023,28.15,720.0,69.0,1.95
Faridkot,Mustard,2024,29.15,690.0,71.0,2.16
Faridkot,Potato,2015,25.15,800.0,60.0,5.42
Faridkot,Potato,2016,27.15,750.0,65.0,4.73
Faridkot,Potato,2017,26.15,820.0,70.0,4.51
Faridkot,Potato,2018,28.15,700.0,68.0,4.52
Faridkot,Potato,2019,29.15,680.0,72.0,5.17
Faridkot,Potato,2020,30.15,650.0,75.0,5.21
Faridkot,Potato,2021,27.15,780.0,66.0,5.35
Faridkot,Potato,2022,26.15,810.0,64.0,4.68
Faridkot,Potato,2023,28.15,720.0,69.0,5.39
Faridkot,Potato,2024,29.15,690.0,71.0,4.81
Faridkot,Rice,2015,25.15,800.0,60.0,4.22
Faridkot,Rice,2016,27.15,750.0,65.0,4.41
Faridkot,Rice,2017,26.15,820.0,70.0,4.45
Faridkot,Rice,2018,28.15,700.0,68.0,4.04
Faridkot,Rice,2019,29.15,680.0,72.0,4.38
Faridkot,Rice,2020,30.15,650.0,75.0,4.78
Faridkot,Rice,2021,27.15,780.0,66.0,4.71
Faridkot,Rice,2022,26.15,810.0,64.0,4.82
Faridkot,Rice,2023,28.15,720.0,69.0,4.7
Faridkot,Rice,2024,29.15,690.0,71.0,4.85
Faridkot,Sugarcane,2015,25.15,800.0,60.0,5.53
Faridkot,Sugarcane,2016,27.15,750.0,65.0,5.75
Faridkot,Sugarcane,2017,26.15,820.0,70.0,6.45
Faridkot,Sugarcane,2018,28.15,700.0,68.0,5.8
Faridkot,Sugarcane,2019,29.15,680.0,72.0,6.38
Faridkot,Sugarcane,2020,30.15,650.0,75.0,6.02
Faridkot,Sugarcane,2021,27.15,780.0,66.0,5.81
Faridkot,Sugarcane,2022,26.15,810.0,64.0,5.78
Faridkot,Sugarcane,2023,28.15,720.0,69.0,5.8
Faridkot,Sugarcane,2024,29.15,690.0,71.0,5.61
Faridkot,Sunflower,2015,25.15,800.0,60.0,2.73
Faridkot,Sunflower,2016,27.15,750.0,65.0,2.19
Faridkot,Sunflower,2017,26.15,820.0,70.0,2.75
Faridkot,Sunflower,2018,28.15,700.0,68.0,2.06
Faridkot,Sunflower,2019,29.15,680.0,72.0,2.05
Faridkot,Sunflower,2020,30.15,650.0,75.0,2.71
Faridkot,Sunflower,2021,27.15,780.0,66.0,1.93
Faridkot,Sunflower,2022,26.15,810.0,64.0,1.91
Faridkot,Sunflower,2023,28.15,720.0,69.0,2.02
Faridkot,Sunflower,2024,29.15,690.0,71.0,2.33
Faridkot,Wheat,2015,25.15,800.0,60.0,3.18
Faridkot,Wheat,2016,27.15,750.0,65.0,3.68
Faridkot,Wheat,2017,26.15,820.0,70.0,3.78
Faridkot,Wheat,2018,28.15,700.0,68.0,3.55
Faridkot,Wheat,2019,29.15,680.0,72.0,3.6
Faridkot,Wheat,2020,30.15,650.0,75.0,3.4
Faridkot,Wheat,2021,27.15,780.0,66.0,3.58
Faridkot,Wheat,2022,26.15,810.0,64.0,3.88
Faridkot,Wheat,2023,28.15,720.0,69.0,3.5
Faridkot,Wheat,2024,29.15,690.0,71.0,3.2
Fatehgarh Sahib,Bajra,2015,25.3,804.0,60.0,1.85
Fatehgarh Sahib,Bajra,2016,27.3,754.0,65.0,2.7
Fatehgarh Sahib,Bajra,2017,26.3,824.0,70.0,1.89
Fatehgarh Sahib,Bajra,2018,28.3,704.0,68.0,1.81
Fatehgarh Sahib,Bajra,2019,29.3,684.0,72.0,2.61
Fatehgarh Sahib,Bajra,2020,30.3,654.0,75.0,2.09
Fatehgarh Sahib,Bajra,2021,27.3,784.0,66.0,2.29
Fatehgarh Sahib,Bajra,2022,26.3,814.0,64.0,2.62
Fatehgarh Sahib,Bajra,2023,28.3,724.0,69.0,1.92
Fatehgarh Sahib,Bajra,2024,29.3,694.0,71.0,2.35
Fatehgarh Sahib,Cotton,2015,25.3,804.0,60.0,2.39
Fatehgarh Sahib,Cotton,2016,27.3,754.0,65.0,3.09
Fatehgarh Sahib,Cotton,2017,26.3,824.0,70.0,2.7
Fatehgarh Sahib,Cotton,2018,28.3,704.0,68.0,2.42
Fatehgarh Sahib,Cotton,2019,29.3,684.0,72.0,3.0
Fatehgarh Sahib,Cotton,2020,30.3,654.0,75.0,3.15
Fatehgarh Sahib,Cotton,2021,27.3,784.0,66.0,3.17
Fatehgarh Sahib,Cotton,2022,26.3,814.0,64.0,2.69
Fatehgarh Sahib,Cotton,2023,28.3,724.0,69.0,2.84
Fatehgarh Sahib,Cotton,2024,29.3,694.0,71.0,2.95
Fatehgarh Sahib,Gram,2015,25.3,804.0,60.0,1.66
Fatehgarh Sahib,Gram,2016,27.3,754.0,65.0,1.47
Fatehgarh Sahib,Gram,2017,26.3,824.0,70.0,2.07
Fatehgarh Sahib,Gram,2018,28.3,704.0,68.0,1.72
Fatehgarh Sahib,Gram,2019,29.3,684.0,72.0,1.68
Fatehgarh Sahib,Gram,2020,30.3,654.0,75.0,1.8
Fatehgarh Sahib,Gram,2021,27.3,784.0,66.0,1.96
Fatehgarh Sahib,Gram,2022,26.3,814.0,64.0,2.22
Fatehgarh Sahib,Gram,2023,28.3,724.0,69.0,1.86
Fatehgarh Sahib,Gram,2024,29.3,694.0,71.0,1.79
Fatehgarh Sahib,Maize,2015,25.3,804.0,60.0,3.44
Fatehgarh Sahib,Maize,2016,27.3,754.0,65.0,3.3
Fatehgarh Sahib,Maize,2017,26.3,824.0,70.0,2.6
Fatehgarh Sahib,Maize,2018,28.3,704.0,68.0,2.82
Fatehgarh Sahib,Maize,2019,29.3,684.0,72.0,3.09
Fatehgarh Sahib,Maize,2020,30.3,654.0,75.0,3.47
Fatehgarh Sahib,Maize,2021,27.3,784.0,66.0,2.57
Fatehgarh Sahib,Maize,2022,26.3,814.0,64.0,2.96
Fatehgarh Sahib,Maize,2023,28.3,724.0,69.0,3.46
Fatehgarh Sahib,Maize,2024,29.3,694.0,71.0,3.01
Fatehgarh Sahib,Mustard,2015,25.3,804.0,60.0,2.14
Fatehgarh Sahib,Mustard,2016,27.3,754.0,65.0,1.75
Fatehgarh Sahib,Mustard,2017,26.3,824.0,70.0,1.56
Fatehgarh Sahib,Mustard,2018,28.3,704.0,68.0,2.43
Fatehgarh Sahib,Mustard,2019,29.3,684.0,72.0,2.24
Fatehgarh Sahib,Mustard,2020,30.3,654.0,75.0,2.02
Fatehgarh Sahib,Mustard,2021,27.3,784.0,66.0,1.85
Fatehgarh Sahib,Mustard,2022,26.3,814.0,64.0,1.89
Fatehgarh Sahib,Mustard,2023,28.3,724.0,69.0,1.71
Fatehgarh Sahib,Mustard,2024,29.3,694.0,71.0,1.83
Fatehgarh Sahib,Potato,2015,25.3,804.0,60.0,4.74
Fatehgarh Sahib,Potato,2016,27.3,754.0,65.0,4.78
Fatehgarh Sahib,Potato,2017,26.3,824.0,70.0,5.4
Fatehgarh Sahib,Potato,2018,28.3,704.0,68.0,4.87
Fatehgarh Sahib,Potato,2019,29.3,684.0,72.0,5.24
Fatehgarh Sahib,Potato,2020,30.3,654.0,75.0,4.54
Fatehgarh Sahib,Potato,2021,27.3,784.0,66.0,5.25
Fatehgarh Sahib,Potato,2022,26.3,814.0,64.0,5.42
