Year,District,Crop,Rainfall,Temperature,Humidity,Yield
2017,Amritsar,Rice,777,33.5,66,4.33
2018,Amritsar,Rice,1023,34.8,70,4.09
2019,Amritsar,Rice,611,25.5,71,4.86
2020,Amritsar,Rice,468,33.2,77,4.77
2021,Amritsar,Rice,881,27.9,66,4.27
2022,Amritsar,Rice,495,25.6,75,4.42
2023,Amritsar,Rice,416,24.8,61,4.53
2024,Amritsar,Rice,1071,34.9,58,4.93
2010,Amritsar,Cotton,670,24.6,69,2.76
2011,Amritsar,Cotton,941,29.6,71,2.61
2012,Amritsar,Cotton,782,31.5,80,2.56
2013,Amritsar,Cotton,1078,26.8,62,2.88
2014,Amritsar,Cotton,582,32.8,69,3.16
2015,Amritsar,Cotton,622,30.2,59,2.78
2016,Amritsar,Cotton,849,28.8,69,3.0
2017,Amritsar,Cotton,698,26.1,51,2.47
2018,Amritsar,Cotton,586,32.3,82,2.75
2019,Amritsar,Cotton,649,26.3,74,2.72
2020,Amritsar,Cotton,636,25.7,54,2.39
2021,Amritsar,Cotton,426,30.9,70,3.01
2022,Amritsar,Cotton,457,33.4,61,2.47
2023,Amritsar,Cotton,995,25.8,53,2.44
2024,Amritsar,Cotton,815,33.2,77,2.93
2010,Amritsar,Maize,552,32.0,68,2.87
2011,Amritsar,Maize,937,29.1,74,2.99
2012,Amritsar,Maize,768,30.3,81,3.01
2013,Amritsar,Maize,719,27.3,84,3.14
2014,Amritsar,Maize,537,32.2,69,3.04
2015,Amritsar,Maize,846,30.4,53,2.72
2016,Amritsar,Maize,905,26.0,76,3.36
2017,Amritsar,Maize,1023,30.1,81,3.19
2018,Amritsar,Maize,1036,30.7,71,2.67
2019,Amritsar,Maize,936,34.1,82,3.16
2020,Amritsar,Maize,547,26.3,85,2.73
2021,Amritsar,Maize,1052,30.3,85,3.12
2022,Amritsar,Maize,630,27.3,60,2.55
2023,Amritsar,Maize,818,30.1,83,2.68
2024,Amritsar,Maize,725,32.3,65,2.54
2010,Amritsar,Sugarcane,947,26.3,70,6.15
2011,Amritsar,Sugarcane,765,29.2,60,6.08
2012,Amritsar,Sugarcane,595,31.3,76,5.91
2013,Amritsar,Sugarcane,661,26.9,78,6.21
2014,Amritsar,Sugarcane,527,25.7,62,5.75
2015,Amritsar,Sugarcane,982,32.2,58,6.19
2016,Amritsar,Sugarcane,1095,24.2,79,5.99
2017,Amritsar,Sugarcane,949,30.7,66,5.97
2018,Amritsar,Sugarcane,899,24.9,53,5.87
2019,Amritsar,Sugarcane,747,24.6,50,5.85
2020,Amritsar,Sugarcane,782,27.2,62,5.95
2021,Amritsar,Sugarcane,1006,29.7,85,5.67
2022,Amritsar,Sugarcane,444,31.5,52,6.07
2023,Amritsar,Sugarcane,707,27.5,67,5.91
2024,Amritsar,Sugarcane,726,33.5,73,5.83
2010,Amritsar,Mustard,944,24.5,62,2.32
2011,Amritsar,Mustard,411,28.0,71,2.4
2012,Amritsar,Mustard,738,30.0,59,1.86
2013,Amritsar,Mustard,946,24.6,61,1.89
2014,Amritsar,Mustard,404,33.2,65,2.25
2015,Amritsar,Mustard,433,29.4,70,2.06
2016,Amritsar,Mustard,455,34.9,55,2.46
2017,Amritsar,Mustard,1016,34.1,60,1.9
2018,Amritsar,Mustard,941,28.3,74,1.8
2019,Amritsar,Mustard,1057,32.4,72,2.38
2020,Amritsar,Mustard,423,26.9,52,1.92
2021,Amritsar,Mustard,1076,28.3,71,1.65
2022,Amritsar,Mustard,786,34.1,63,1.9
2023,Amritsar,Mustard,933,30.9,63,2.36
2024,Amritsar,Mustard,1058,29.2,82,2.03
2010,Amritsar,Potato,628,25.9,57,4.67
2011,Amritsar,Potato,861,24.3,79,5.17
2012,Amritsar,Potato,597,32.4,61,5.4
2013,Amritsar,Potato,890,24.4,52,4.64
2014,Amritsar,Potato,465,24.6,67,4.84
2015,Amritsar,Potato,810,28.3,68,5.4
2016,Amritsar,Potato,735,24.1,74,4.87
2017,Amritsar,Potato,846,34.7,60,5.03
2018,Amritsar,Potato,859,33.1,74,5.45
2019,Amritsar,Potato,776,33.6,58,4.73
2020,Amritsar,Potato,941,33.1,56,4.51
2021,Amritsar,Potato,1009,24.4,67,4.74
2022,Amritsar,Potato,580,29.6,66,4.73
2023,Amritsar,Potato,621,30.0,54,4.9
2024,Amritsar,Potato,878,34.5,60,5.24
2010,Amritsar,Bajra,873,25.3,54,1.93
2011,Amritsar,Bajra,776,31.4,61,2.7
2012,Amritsar,Bajra,933,34.5,62,2.15
2013,Amritsar,Bajra,458,29.8,75,2.26
2014,Amritsar,Bajra,594,30.4,77,2.58
2015,Amritsar,Bajra,1014,27.8,81,2.29
2016,Amritsar,Bajra,1094,32.5,73,1.73
2017,Amritsar,Bajra,476,32.9,54,1.98
2018,Amritsar,Bajra,768,27.0,50,2.24
2019,Amritsar,Bajra,526,33.5,67,2.06
2020,Amritsar,Bajra,744,30.3,55,2.52
2021,Amritsar,Bajra,663,24.7,85,2.19
2022,Amritsar,Bajra,674,26.9,52,2.35
2023,Amritsar,Bajra,787,28.5,56,2.68
2024,Amritsar,Bajra,825,24.6,50,2.15
2010,Amritsar,Gram,758,24.8,81,1.89
2011,Amritsar,Gram,873,26.1,73,1.36
2012,Amritsar,Gram,556,33.3,82,1.66
2013,Amritsar,Gram,681,26.7,81,1.7
2014,Amritsar,Gram,819,26.9,52,2.13
2015,Amritsar,Gram,841,24.7,62,1.49
2016,Amritsar,Gram,515,24.0,64,2.07
2017,Amritsar,Gram,470,34.2,82,1.46
2018,Amritsar,Gram,648,34.0,57,1.33
2019,Amritsar,Gram,745,30.8,71,1.85
2020,Amritsar,Gram,595,25.5,51,1.84
2021,Amritsar,Gram,925,30.5,64,1.63
2022,Amritsar,Gram,666,27.2,61,1.57
2023,Amritsar,Gram,514,35.0,84,1.53
2024,Amritsar,Gram,706,33.1,74,1.92
2010,Amritsar,Sunflower,689,34.4,76,2.47
2011,Amritsar,Sunflower,526,32.6,65,2.74
2012,Amritsar,Sunflower,758,33.6,76,2.01
2013,Amritsar,Sunflower,778,32.0,62,1.84
2014,Amritsar,Sunflower,693,31.2,51,2.1
2015,Amritsar,Sunflower,460,24.7,56,1.98
2016,Amritsar,Sunflower,731,26.3,68,1.81
2017,Amritsar,Sunflower,878,26.7,67,2.41
2018,Amritsar,Sunflower,676,26.6,72,2.54
2019,Amritsar,Sunflower,690,32.5,72,2.56
2020,Amritsar,Sunflower,940,28.2,77,2.65
2021,Amritsar,Sunflower,403,24.5,57,1.9
2022,Amritsar,Sunflower,439,27.8,73,1.94
2023,Amritsar,Sunflower,986,28.3,82,2.54
2024,Amritsar,Sunflower,963,29.9,80,2.52
2010,Jalandhar,Wheat,449,27.8,71,3.83
2011,Jalandhar,Wheat,960,31.4,70,3.35
2012,Jalandhar,Wheat,428,30.5,63,3.91
2013,Jalandhar,Wheat,551,24.1,70,3.26
2014,Jalandhar,Wheat,689,25.0,61,3.18
2015,Jalandhar,Wheat,468,26.7,72,3.58
2016,Jalandhar,Wheat,873,30.1,81,3.61
2017,Jalandhar,Wheat,860,33.2,53,3.12
2018,Jalandhar,Wheat,872,32.4,54,3.64
2019,Jalandhar,Wheat,1044,28.2,68,3.74
2020,Jalandhar,Wheat,636,30.7,75,3.92
2021,Jalandhar,Wheat,651,33.1,56,3.35
2022,Jalandhar,Wheat,1059,25.3,57,3.45
2023,Jalandhar,Wheat,408,35.0,74,3.3
2024,Jalandhar,Wheat,545,24.9,59,3.57
2010,Jalandhar,Rice,499,32.6,72,4.62
2011,Jalandhar,Rice,858,32.3,56,5.0
2012,Jalandhar,Rice,673,32.3,75,4.01
2013,Jalandhar,Rice,429,27.5,68,4.77
2014,Jalandhar,Rice,894,24.6,64,4.27
2015,Jalandhar,Rice,757,25.3,67,4.71
2016,Jalandhar,Rice,439,24.6,61,4.76
2017,Jalandhar,Rice,679,25.4,59,4.96
2018,Jalandhar,Rice,1022,34.8,75,4.14
2019,Jalandhar,Rice,788,30.9,52,4.83
2020,Jalandhar,Rice,813,30.6,68,4.74
2021,Jalandhar,Rice,1086,31.3,65,4.72
2022,Jalandhar,Rice,666,27.1,57,4.89
2023,Jalandhar,Rice,759,33.5,85,4.71
2024,Jalandhar,Rice,972,32.1,78,4.82
2010,Jalandhar,Cotton,958,30.9,70,3.14
2011,Jalandhar,Cotton,1027,34.1,61,2.93
2012,Jalandhar,Cotton,597,33.0,77,2.92
2013,Jalandhar,Cotton,1075,33.9,57,2.44
2014,Jalandhar,Cotton,722,31.9,73,2.92
2015,Jalandhar,Cotton,601,30.9,79,2.87
2016,Jalandhar,Cotton,585,26.8,80,2.71
2017,Jalandhar,Cotton,629,34.3,76,2.65
2018,Jalandhar,Cotton,853,26.8,64,3.21
2019,Jalandhar,Cotton,490,32.5,67,2.53
2020,Jalandhar,Cotton,541,30.5,65,2.9
2021,Jalandhar,Cotton,1089,25.7,74,2.84
2022,Jalandhar,Cotton,805,30.7,78,3.16
2023,Jalandhar,Cotton,881,26.6,67,2.33
2024,Jalandhar,Cotton,646,26.0,55,2.51
2010,Jalandhar,Maize,763,26.8,73,2.9
2011,Jalandhar,Maize,956,25.1,76,2.96
2012,Jalandhar,Maize,500,28.6,59,3.33
2013,Jalandhar,Maize,539,30.1,76,3.13
2014,Jalandhar,Maize,1067,33.9,69,3.13
2015,Jalandhar,Maize,877,24.0,64,3.4
2016,Jalandhar,Maize,901,25.9,84,3.46
2017,Jalandhar,Maize,735,33.3,50,3.34
2018,Jalandhar,Maize,991,33.2,71,2.54
2019,Jalandhar,Maize,601,32.3,78,2.53
2020,Jalandhar,Maize,831,27.8,77,2.89
2021,Jalandhar,Maize,703,28.7,82,2.67
2022,Jalandhar,Maize,711,29.6,73,2.83
2023,Jalandhar,Maize,648,30.8,83,3.24
2024,Jalandhar,Maize,435,32.3,55,3.42
2010,Jalandhar,Sugarcane,681,24.9,75,5.52
2011,Jalandhar,Sugarcane,667,25.0,54,6.47
2012,Jalandhar,Sugarcane,1038,31.3,84,5.56
2013,Jalandhar,Sugarcane,482,33.3,64,6.31
2014,Jalandhar,Sugarcane,1021,33.2,82,5.95
2015,Jalandhar,Sugarcane,758,30.4,85,5.74
2016,Jalandhar,Sugarcane,1044,30.5,84,5.9
2017,Jalandhar,Sugarcane,466,34.7,63,5.96
2018,Jalandhar,Sugarcane,774,29.2,65,6.38
2019,Jalandhar,Sugarcane,411,24.6,56,5.78
2020,Jalandhar,Sugarcane,1089,29.8,68,5.67
2021,Jalandhar,Sugarcane,1048,26.8,71,5.51
2022,Jalandhar,Sugarcane,861,27.3,73,5.93
2023,Jalandhar,Sugarcane,798,25.1,69,6.39
2024,Jalandhar,Sugarcane,506,31.5,57,5.85
2010,Jalandhar,Mustard,494,28.1,60,1.74
2011,Jalandhar,Mustard,845,29.4,81,1.71
2012,Jalandhar,Mustard,702,27.5,72,2.35
2013,Jalandhar,Mustard,609,31.2,80,1.87
2014,Jalandhar,Mustard,904,30.6,66,2.0
2015,Jalandhar,Mustard,561,33.4,81,2.25
2016,Jalandhar,Mustard,926,31.3,63,1.66
2017,Jalandhar,Mustard,540,26.8,70,2.27
2018,Jalandhar,Mustard,452,29.7,76,1.77
2019,Jalandhar,Mustard,1079,24.7,67,1.64
2020,Jalandhar,Mustard,659,24.8,59,1.58
2021,Jalandhar,Mustard,925,32.2,63,2.03
2022,Jalandhar,Mustard,915,32.8,69,2.17
2023,Jalandhar,Mustard,980,34.2,54,2.13
2024,Jalandhar,Mustard,834,34.9,78,2.28
2010,Jalandhar,Potato,632,31.1,77,4.54
2011,Jalandhar,Potato,773,30.3,58,5.49
2012,Jalandhar,Potato,514,34.5,77,5.44
2013,Jalandhar,Potato,721,34.7,52,4.81
2014,Jalandhar,Potato,667,27.1,56,4.87
2015,Jalandhar,Potato,492,30.8,70,4.81
2016,Jalandhar,Potato,770,24.8,65,4.54
2017,Jalandhar,Potato,473,33.0,66,5.29
2018,Jalandhar,Potato,414,34.8,69,4.59
2019,Jalandhar,Potato,513,26.7,71,4.83
2020,Jalandhar,Potato,848,33.1,72,5.47
2021,Jalandhar,Potato,908,33.7,55,4.9
2022,Jalandhar,Potato,1069,24.0,57,5.04
2023,Jalandhar,Potato,810,30.8,78,4.58
2024,Jalandhar,Potato,603,25.5,69,4.52
2010,Jalandhar,Bajra,1014,28.8,51,2.66
2011,Jalandhar,Bajra,917,26.2,62,2.06
2012,Jalandhar,Bajra,433,29.9,84,2.06
2013,Jalandhar,Bajra,720,29.5,62,2.57
2014,Jalandhar,Bajra,837,27.1,52,2.08
2015,Jalandhar,Bajra,806,34.2,64,2.37
2016,Jalandhar,Bajra,694,29.9,63,2.39
2017,Jalandhar,Bajra,1066,30.8,61,1.94
2018,Jalandhar,Bajra,671,30.7,84,1.77
2019,Jalandhar,Bajra,729,29.9,71,2.61
2020,Jalandhar,Bajra,821,25.5,69,2.1
2021,Jalandhar,Bajra,593,29.1,56,1.94
2022,Jalandhar,Bajra,1050,29.0,53,2.08
2023,Jalandhar,Bajra,1039,33.6,71,2.45
2024,Jalandhar,Bajra,665,33.0,60,1.74
2010,Jalandhar,Gram,729,30.1,74,1.87
2011,Jalandhar,Gram,545,25.4,53,2.2
2012,Jalandhar,Gram,502,29.8,52,2.16
2013,Jalandhar,Gram,553,27.7,59,1.51
2014,Jalandhar,Gram,936,33.7,70,1.82
2015,Jalandhar,Gram,567,32.7,66,1.78
2016,Jalandhar,Gram,931,25.8,56,2.18
2017,Jalandhar,Gram,902,30.6,71,1.55
2018,Jalandhar,Gram,479,24.5,72,1.5
2019,Jalandhar,Gram,1062,29.1,67,1.97
2020,Jalandhar,Gram,1099,34.1,61,2.23
2021,Jalandhar,Gram,788,28.0,60,1.34
2022,Jalandhar,Gram,480,24.2,78,1.99
2023,Jalandhar,Gram,984,30.2,53,1.7
2024,Jalandhar,Gram,620,31.5,58,2.22
2010,Jalandhar,Sunflower,961,34.3,61,2.7
2011,Jalandhar,Sunflower,862,27.2,63,1.87
2012,Jalandhar,Sunflower,1091,27.2,70,1.99
2013,Jalandhar,Sunflower,485,31.8,84,2.45
2014,Jalandhar,Sunflower,604,29.1,55,2.16
2015,Jalandhar,Sunflower,975,27.9,59,2.57
2016,Jalandhar,Sunflower,800,34.6,77,2.31
2017,Jalandhar,Sunflower,757,26.7,85,2.67
2018,Jalandhar,Sunflower,481,29.7,82,1.81
2019,Jalandhar,Sunflower,796,24.7,72,2.79
2020,Jalandhar,Sunflower,535,33.7,66,1.82
2021,Jalandhar,Sunflower,868,34.4,58,1.87
2022,Jalandhar,Sunflower,1050,29.5,77,2.32
2023,Jalandhar,Sunflower,825,34.0,84,1.91
2024,Jalandhar,Sunflower,901,32.7,77,2.45
2010,Patiala,Wheat,765,25.5,52,3.88
2011,Patiala,Wheat,886,24.4,75,3.26
2012,Patiala,Wheat,468,24.9,61,3.29
2013,Patiala,Wheat,465,30.9,75,3.04
2014,Patiala,Wheat,678,31.1,63,3.51
2015,Patiala,Wheat,735,30.4,53,3.07
2016,Patiala,Wheat,415,26.6,76,3.12
2017,Patiala,Wheat,986,26.3,75,3.21
2018,Patiala,Wheat,813,33.4,81,3.81
2019,Patiala,Wheat,499,30.2,81,3.51
2020,Patiala,Wheat,815,31.6,67,3.66
2021,Patiala,Wheat,488,26.0,83,3.9
2022,Patiala,Wheat,880,24.1,84,3.47
2023,Patiala,Wheat,892,34.6,68,3.91
2024,Patiala,Wheat,436,29.9,82,3.49
2010,Patiala,Rice,401,30.0,65,4.91
2011,Patiala,Rice,544,29.1,62,4.52
2012,Patiala,Rice,619,26.5,69,4.4
2013,Patiala,Rice,580,31.4,63,4.8
2014,Patiala,Rice,789,24.4,64,4.37
2015,Patiala,Rice,1081,28.6,75,4.97
2016,Patiala,Rice,857,24.1,59,4.01
2017,Patiala,Rice,554,24.5,63,4.75
2018,Patiala,Rice,966,32.6,58,4.68
2019,Patiala,Rice,664,30.3,78,4.8
2020,Patiala,Rice,661,27.0,55,4.38
2021,Patiala,Rice,511,26.1,75,4.63
2022,Patiala,Rice,808,27.6,75,4.29
2023,Patiala,Rice,681,29.1,82,4.0
2024,Patiala,Rice,957,28.7,57,4.29
2010,Patiala,Cotton,636,28.2,51,2.65
2011,Patiala,Cotton,538,26.6,84,2.39
2012,Patiala,Cotton,824,28.1,67,2.53
2013,Patiala,Cotton,1080,25.5,59,3.16
2014,Patiala,Cotton,574,29.6,82,3.06
2015,Patiala,Cotton,680,26.7,84,2.35
2016,Patiala,Cotton,629,25.3,62,2.63
2017,Patiala,Cotton,849,26.5,75,2.46
2018,Patiala,Cotton,1018,24.9,55,3.11
2019,Patiala,Cotton,934,24.2,59,2.86
2020,Patiala,Cotton,692,28.0,71,3.29
2021,Patiala,Cotton,1062,26.4,83,3.08
2022,Patiala,Cotton,854,33.1,66,3.01
2023,Patiala,Cotton,651,30.4,62,2.79
2024,Patiala,Cotton,1022,28.0,65,2.3
2010,Patiala,Maize,804,28.9,75,2.97
2011,Patiala,Maize,1095,25.7,57,3.16
2012,Patiala,Maize,923,28.9,80,3.37
2013,Patiala,Maize,626,31.5,82,3.33
2014,Patiala,Maize,598,33.9,83,2.56
2015,Patiala,Maize,936,31.6,80,2.65
2016,Patiala,Maize,1035,27.5,68,3.34
2017,Patiala,Maize,1069,27.8,60,2.5
2018,Patiala,Maize,968,32.9,69,2.53
2019,Patiala,Maize,825,32.4,85,3.19
2020,Patiala,Maize,477,28.8,60,2.63
2021,Patiala,Maize,1026,34.2,55,3.48
2022,Patiala,Maize,559,33.4,54,3.32
2023,Patiala,Maize,564,33.7,84,2.75
2024,Patiala,Maize,586,34.4,61,3.32
2010,Patiala,Sugarcane,1065,33.2,71,5.73
2011,Patiala,Sugarcane,852,28.3,75,6.22
2012,Patiala,Sugarcane,691,26.5,50,6.5
2013,Patiala,Sugarcane,956,27.6,76,5.95
2014,Patiala,Sugarcane,636,33.8,73,6.05
2015,Patiala,Sugarcane,592,27.2,73,5.74
2016,Patiala,Sugarcane,604,31.0,76,5.53
2017,Patiala,Sugarcane,785,28.7,85,6.09
2018,Patiala,Sugarcane,946,30.3,74,5.96
2019,Patiala,Sugarcane,913,27.6,71,6.22
2020,Patiala,Sugarcane,981,29.6,76,6.07
2021,Patiala,Sugarcane,437,28.1,67,5.69
2022,Patiala,Sugarcane,759,24.9,75,5.87
2023,Patiala,Sugarcane,800,27.2,60,6.4
2024,Patiala,Sugarcane,922,29.1,80,6.41
2010,Patiala,Mustard,554,24.9,58,1.73
